raceId,driverId,grid,position,constructorId
18,1,1,1,1
18,9,2,9,2
18,5,3,5,1
18,13,4,13,6
18,2,5,2,2
18,15,6,15,7
18,3,7,3,3
18,14,8,14,9
18,10,9,10,7
18,20,10,20,5
18,22,11,22,11
18,4,12,4,4
18,18,13,18,11
18,6,14,6,3
18,17,15,17,9
18,8,16,8,6
18,21,17,21,10
18,7,18,7,5
18,16,19,16,10
18,11,20,11,8
18,12,21,12,4
18,19,22,19,8
19,13,1,19,6
19,8,2,1,6
19,5,3,3,1
19,1,4,5,1
19,15,5,4,7
19,9,6,2,2
19,2,7,6,2
19,17,8,7,9
19,4,9,8,4
19,10,10,21,7
19,18,11,10,11
19,14,12,9,9
19,12,13,11,4
19,22,14,13,11
19,20,15,18,5
19,3,16,14,3
19,21,17,12,10
19,6,18,17,3
19,7,19,22,5
19,11,20,16,8
19,16,21,20,10
19,19,22,15,8
20,9,1,3,2
20,13,2,1,6
20,1,3,13,1
20,8,4,2,6
20,5,5,5,1
20,2,6,4,2
20,15,7,6,7
20,3,8,8,3
20,18,9,21,11
20,4,10,10,4
20,17,11,7,9
20,22,12,11,11
20,10,13,9,7
20,12,14,20,4
20,7,15,15,5
20,6,16,14,3
20,14,17,18,9
20,21,18,12,10
20,20,19,22,5
20,16,20,19,10
20,19,21,16,8
20,11,22,17,8
21,8,1,1,6
21,4,2,15,4
21,13,3,2,6
21,9,4,4,2
21,1,5,3,1
21,5,6,17,1
21,17,7,5,9
21,15,8,8,7
21,2,9,9,2
21,12,10,20,4
21,22,11,16,11
21,6,12,7,3
21,18,13,6,11
21,10,14,11,7
21,3,15,14,3
21,7,16,19,5
21,14,17,12,9
21,20,18,22,5
21,21,19,10,10
21,16,20,21,10
21,19,21,18,8
21,11,22,13,8
22,13,1,1,6
22,5,2,12,1
22,1,3,2,1
22,8,4,3,6
22,9,5,4,2
22,17,6,7,9
22,4,7,6,4
22,15,8,10,7
22,2,9,5,2
22,14,10,9,9
22,3,11,8,3
22,22,12,14,11
22,18,13,11,11
22,20,14,17,5
22,10,15,13,7
22,6,16,19,3
22,12,17,15,4
22,7,18,18,5
22,21,19,20,10
22,16,20,16,10
23,13,1,3,6
23,8,2,9,6
23,1,3,1,1
23,5,4,8,1
23,9,5,2,2
23,3,6,16,3
23,4,7,10,4
23,15,8,13,7
23,17,9,4,9
23,14,10,19,9
23,10,11,12,7
23,18,12,11,11
23,2,13,14,2
23,6,14,7,3
23,22,15,6,11
23,7,16,20,5
23,12,17,17,4
23,20,18,5,5
23,16,19,15,10
23,21,20,18,10
24,1,1,19,1
24,9,2,1,2
24,8,3,18,6
24,4,4,16,4
24,3,5,10,3
24,13,6,5,6
24,5,7,9,1
24,2,8,2,2
24,22,9,7,11
24,17,10,12,9
24,10,11,4,7
24,6,12,15,3
24,14,13,3,9
24,15,14,6,7
24,12,15,17,4
24,7,16,13,5
24,16,17,20,10
24,21,18,14,10
24,18,19,11,11
24,20,20,8,5
25,8,1,2,6
25,13,2,1,6
25,1,3,10,1
25,4,4,8,4
25,15,5,3,7
25,5,6,4,1
25,9,7,5,2
25,17,8,6,9
25,14,9,9,9
25,10,10,11,7
25,12,11,7,4
25,2,12,13,2
25,20,13,12,5
25,7,14,17,5
25,3,15,16,3
25,6,16,15,3
25,18,17,20,11
25,22,18,14,11
25,21,19,18,10
25,16,20,19,10
26,5,1,5,1
26,17,2,10,9
26,8,3,4,6
26,1,4,1,1
26,2,5,2,2
26,4,6,6,4
26,12,7,16,4
26,20,8,19,5
26,13,9,13,6
26,9,10,14,2
26,14,11,20,9
26,10,12,12,7
26,7,13,11,5
26,15,14,7,7
26,6,15,8,3
26,22,16,3,11
26,18,17,15,11
26,3,18,9,3
26,16,19,18,10
26,21,20,17,10
27,1,1,1,1
27,13,2,3,6
27,5,3,5,1
27,15,4,9,7
27,4,5,11,4
27,8,6,6,6
27,9,7,7,2
27,17,8,19,9
27,20,9,8,5
27,14,10,13,9
27,10,11,20,7
27,2,12,4,2
27,3,13,10,3
27,18,14,17,11
27,7,15,12,5
27,6,16,14,3
27,12,17,2,4
27,22,18,18,11
27,16,19,15,10
27,21,20,16,10
28,1,1,5,1
28,5,2,1,1
28,13,3,17,6
28,9,4,8,2
28,10,5,2,7
28,8,6,3,6
28,4,7,4,4
28,17,8,9,9
28,15,9,7,7
28,12,10,6,4
28,20,11,20,5
28,18,12,12,11
28,14,13,11,9
28,7,14,18,5
28,3,15,14,3
28,2,16,10,2
28,6,17,13,3
28,22,18,16,11
28,21,19,15,10
28,16,20,19,10
29,13,1,1,6
29,1,2,2,1
29,9,3,3,2
29,8,4,18,6
29,5,5,4,1
29,20,6,6,5
29,15,7,5,7
29,2,8,9,2
29,3,9,8,3
29,7,10,10,5
29,6,11,15,3
29,4,12,20,4
29,10,13,7,7
29,17,14,12,9
29,12,15,11,4
29,18,16,13,11
29,14,17,17,9
29,21,18,14,10
29,22,19,16,11
29,16,20,19,10
30,1,1,3,1
30,13,2,1,6
30,5,3,10,1
30,8,4,18,6
30,2,5,2,2
30,4,6,4,4
30,17,7,8,9
30,9,8,6,2
30,7,9,7,5
30,20,10,5,5
30,15,11,16,7
30,12,12,20,4
30,10,13,9,7
30,14,14,11,9
30,3,15,12,3
30,22,16,19,11
30,18,17,15,11
30,16,18,13,10
30,6,19,14,3
30,21,20,17,10
31,20,1,1,5
31,5,2,2,1
31,17,3,8,9
31,7,4,18,5
31,3,5,14,3
31,13,6,6,6
31,15,7,13,7
31,4,8,4,4
31,10,9,11,7
31,2,10,5,2
31,9,11,3,2
31,21,12,20,10
31,14,13,16,9
31,8,14,9,6
31,1,15,7,1
31,22,16,17,11
31,12,17,10,4
31,6,18,12,3
31,18,19,15,11
31,16,20,19,10
32,13,1,13,6
32,1,2,3,1
32,8,3,15,6
32,9,4,11,2
32,5,5,10,1
32,2,6,6,2
32,20,7,5,5
32,10,8,4,7
32,3,9,2,3
32,6,10,8,3
32,15,11,16,7
32,18,12,9,11
32,17,13,18,9
32,14,14,7,9
32,4,15,1,4
32,12,16,20,4
32,7,17,12,5
32,22,18,19,11
32,16,19,17,10
32,21,20,14,10
33,1,1,12,1
33,8,2,3,6
33,5,3,17,1
33,4,4,1,4
33,13,5,7,6
33,9,6,2,2
33,15,7,5,7
33,10,8,19,7
33,20,9,6,5
33,7,10,10,5
33,14,11,20,9
33,12,12,4,4
33,17,13,8,9
33,6,14,15,3
33,3,15,11,3
33,2,16,9,2
33,22,17,13,11
33,18,18,14,11
33,16,19,18,10
33,21,20,16,10
34,1,1,1,1
34,8,2,3,6
34,13,3,2,6
34,4,4,4,4
34,5,5,18,1
34,17,6,14,9
34,2,7,5,2
34,20,8,9,5
34,15,9,20,7
34,7,10,13,5
34,12,11,8,4
34,9,12,6,2
34,10,13,7,7
34,22,14,11,11
34,3,15,15,3
34,14,16,10,9
34,6,17,12,3
34,18,18,16,11
34,16,19,19,10
34,21,20,17,10
35,13,1,1,6
35,15,2,8,7
35,8,3,3,6
35,1,4,5,1
35,5,5,7,1
35,4,6,2,4
35,20,7,4,5
35,2,8,10,2
35,7,9,14,5
35,10,10,6,7
35,12,11,19,4
35,17,12,9,9
35,9,13,11,2
35,14,14,20,9
35,22,15,15,11
35,6,16,17,3
35,18,17,13,11
35,3,18,12,3
35,21,19,18,10
35,16,20,16,10
36,8,1,1,6
36,4,2,2,1
36,2,3,4,2
36,1,4,3,1
36,9,5,20,2
36,21,6,5,4
36,17,7,13,9
36,15,8,9,7
36,23,9,8,7
36,11,10,12,8
36,19,11,16,8
36,3,12,7,3
36,5,13,10,4
36,18,14,15,11
36,25,15,18,3
36,13,16,6,6
36,22,17,11,11
36,26,18,21,5
36,14,19,19,9
36,24,20,14,5
36,16,21,17,12
36,27,22,22,12
37,13,1,5,6
37,4,2,1,1
37,8,3,3,6
37,1,4,2,1
37,2,5,4,2
37,3,6,19,3
37,9,7,18,2
37,15,8,7,7
37,23,9,15,7
37,17,10,10,9
37,5,11,8,4
37,21,12,6,4
37,14,13,20,9
37,11,14,13,8
37,18,15,12,11
